epoch,total_loss,accuracy,age_task_loss,gender_task_loss,race_task_loss
1,930.2858966588974,0.5252121184174122,1181.4561730623245,375.9821574687958,1233.4192652702332
2,736.901231110096,0.5920909035014911,969.8228038549423,255.54712837934494,985.3336931467056
3,661.5755810141563,0.6218758646131145,885.5225833654404,219.06788961589336,880.1362257003784
4,620.907636642456,0.6381959174890098,839.8547939062119,200.39351442456245,822.4745541810989
5,593.4509451985359,0.6565372436902456,811.6498782038689,186.12561531364918,782.5772940516472
6,572.3653544187546,0.664868271388607,788.1840279102325,175.89810825884342,753.0138792395592
7,556.0413385629654,0.6712702511605029,772.7981550693512,167.06452802568674,728.2612871527672
8,542.3260098099709,0.677872052629961,758.6313543319702,160.81164199113846,707.5349854230881
9,529.9184766411781,0.6894002274893172,746.5906459093094,153.2603585794568,689.9043847322464
10,519.5984717607498,0.6912255218420486,736.4014734625816,148.93761977553368,673.4562781453133
11,510.0186051726341,0.6988687017738018,727.6535911560059,143.56788175553083,658.8342983722687
12,501.3973734974861,0.7023578960312337,718.8596424460411,138.95757810771465,646.3748544454575
13,493.08150577545166,0.7110578253250944,709.974034845829,134.02874908596277,635.2416906952858
14,486.12975615262985,0.7160725813889145,702.9915482401848,131.21383852511644,624.1838393807411
15,479.24531757831573,0.7211565065018907,696.1720668077469,127.54761712998152,614.0162273645401
16,472.70803302526474,0.7155230717206185,689.8700705766678,124.09616804867983,604.1578169465065
17,466.3288314342499,0.7231969934519967,683.5922751426697,120.37373510748148,595.0204403996468
18,460.8947680592537,0.7251759968028528,677.8384346961975,118.29193920642138,586.5538888573647
19,455.30025005340576,0.7314127394017645,672.8020313978195,114.42041061073542,578.6782662272453
20,450.06289917230606,0.738287374342894,667.568040728569,112.49496529251337,570.1256518959999
21,444.54747396707535,0.7381336653447693,661.7019489407539,109.21398478746414,562.7264457941055
22,439.7485299706459,0.7384641396907375,656.2249939441681,106.37672333046794,556.6438342928886
23,434.75792121887207,0.7469181345875988,650.9226593375206,104.37667541205883,548.974393248558
24,430.13730669021606,0.7494120630821728,646.0099267959595,101.91166431829333,542.4902900457382
25,424.987875521183,0.749677211103938,641.520369708538,98.91935973986983,534.5238553285599
26,420.74885565042496,0.7563481816225521,638.1822100281715,96.51365952938795,527.5506576895714
27,416.1295644044876,0.7567516677426296,632.7626656293869,93.9609962515533,521.6649945378304
28,411.5871141552925,0.760675089919764,629.7194278240204,91.46129536628723,513.5805847644806
29,407.34087032079697,0.7653171016631314,624.248187482357,89.94541878253222,507.82897013425827
30,402.91397643089294,0.76575901503274,618.4548390507698,88.06752616912127,502.2195283174515
31,398.6865936219692,0.7658627686064743,613.504900097847,85.45539383217692,497.09945011138916
32,394.178412348032,0.7709582218943097,609.4588218927383,83.07631056383252,490.0000676512718
33,390.5826558470726,0.7758884380091611,606.4239967465401,80.86560862511396,484.45832577347755
34,386.24221417307854,0.773137046942728,602.0809608101845,79.41334043070674,477.2323068380356
35,382.4744279682636,0.7788434934981093,598.4064195752144,77.54404003918171,471.4727884232998
36,378.65182688832283,0.7763649359033478,594.2370236515999,75.71389301121235,466.00452822446823
37,374.02527555823326,0.7840234867349135,590.1751973628998,73.20570735260844,458.6948894262314
38,370.06213942170143,0.78468443542685,586.0772331357002,71.17579020932317,452.93336099386215
39,365.8052825629711,0.7840503858095853,580.1131381392479,69.49098486825824,447.8116923570633
40,361.9999006986618,0.790417781056903,576.8047903776169,68.12422170676291,441.07065895199776
41,357.96793577075005,0.7947946447785054,572.5455628633499,65.3317753970623,436.02643969655037
42,354.0551455318928,0.7937609517661164,568.8541387915611,63.69733485393226,429.61392813920975
43,349.82649701833725,0.8023417565864306,564.9052477478981,61.792477793991566,422.7817358672619
44,345.85755798220634,0.8006125303575272,559.8585776090622,59.31660969182849,418.397453635931
45,342.1717284619808,0.8001014479387624,555.1658208966255,58.001442870125175,413.34788981080055
46,337.9364687204361,0.8072835008761413,550.2224810123444,57.44903297536075,406.1378588080406
47,333.7073796391487,0.8035483722217099,546.2205456495285,54.90323167480528,399.9983321130276
48,330.31229385733604,0.8137892342217713,543.394174516201,53.673870069906116,393.8688071966171
49,326.7212432920933,0.8158988902210336,540.4447944164276,51.484291618689895,388.2346149086952
50,321.99799904227257,0.811318362076916,533.8373975753784,48.89190779067576,383.26466304063797
