epoch,total_loss,train_accuracy,val_accuracy,age_task_loss,gender_task_loss,race_task_loss,age_train_accuracy,gender_train_accuracy,race_train_accuracy,age_val_accuracy,gender_val_accuracy,race_val_accuracy
1,0.008125396968637195,0.34190952380952383,0.4251672240802676,0.03186442757674626,0.010690933126211166,0.0305732095514025,0.2406,0.5874857142857143,0.19764285714285715,0.3149784997611085,0.6679407548972767,0.2925824175824176
2,0.006409747316156115,0.5017571428571429,0.5467829272177098,0.024814233938285284,0.007715344272341047,0.025158145674637387,0.3748142857142857,0.7515285714285714,0.37892857142857145,0.3978738652651696,0.8014214046822743,0.44105351170568563
3,0.005407970792622794,0.5776476190476191,0.5873347666825928,0.021445619186333247,0.005944928219488689,0.02128118850503649,0.4296285714285714,0.8236571428571429,0.47965714285714284,0.4273172479694219,0.8339106545628284,0.5007763975155279
4,0.004964766837869372,0.6143571428571428,0.6153448001274088,0.020034743532112667,0.005138966975467545,0.01950918991139957,0.4643857142857143,0.8521428571428571,0.5265428571428571,0.4628523650262781,0.8545150501672241,0.5286669851887243
5,0.004692563645044962,0.634452380952381,0.6302954292084727,0.019184686061314175,0.004638885862486703,0.0184094997721059,0.4831714285714286,0.8680428571428571,0.5521428571428572,0.47509555661729574,0.8710582895365504,0.544732441471572
6,0.0044914222771213165,0.6508142857142857,0.6416427775123428,0.018541279171194348,0.0043077097667115075,0.017573810487134117,0.5016,0.8785285714285714,0.5723142857142857,0.4871595795508839,0.8739249880554228,0.5638437649307214
7,0.004330698416346595,0.6636952380952381,0.6469182990922121,0.01806335473401206,0.0040143094795090815,0.01689862047263554,0.5130857142857143,0.8878285714285714,0.5901714285714286,0.4891304347826087,0.8790611562350693,0.5725633062589585
8,0.004196159205266408,0.6745809523809524,0.6553790412486065,0.017628419710908616,0.003792325438878366,0.016344686690398624,0.5253142857142857,0.8949,0.6035285714285714,0.4940874343048256,0.8842570473005256,0.5877926421404682
9,0.0040775363848322916,0.6841238095238096,0.6563744226787706,0.01726274106332234,0.003591194212330239,0.015843891184670583,0.5347285714285714,0.9013714285714286,0.6162714285714286,0.4896082178690874,0.8853917821309125,0.5941232680363115
